,success
kona-medical,1
sendinblue,0
myhealthteams,0
pulaski-bank,1
fancy-hands,0
secure-command,0
pharma-two-b,0
memc-electronic-materials,1
cardiovascular-systems,1
my-true-fit,0
webpay,1
blue-lane-technologies,1
rocket-relief,0
pluromed,1
dogi,0
cheap-flights-finder,0
black-duck-software,1
newport-media,1
cerrx,0
branchout,1
connectm-technology-solutions,0
legitime-technologies,0
killerstartups,0
accord-biomaterials,0
tunesat,1
salon-media-group,1
bodyshopbids,0
tempolib,0
diwanee,0
aesthetic-everything®-social-network,0
novian-health,0
team-apart,0
octamer,0
id-america,0
internet-gold-golden-lines,1
gamma-medica,0
etix,0
echo360,1
lifeonkey,0
dark-skull-studios,0
mowgli,0
insight-guru,0
powelectrics,0
keibi-technologies,1
softricity,1
miria-systems,0
fibocom-wireless,0
seaweed-bath-co-,0
ventirx-pharmaceuticals,1
metheor-therapeutics,0
axium-nanofibers,1
travelzeeky,0
woodstone-properties,0
tictacti,0
bbn-technologies,1
adways,0
talentspring,1
dbi-services,0
elite-group,0
mediaplatform,1
duo-security,1
zoobe,0
movaris,1
pepperweed-consulting,0
act-atria-convergence-technologies-pvt-ltd-,0
college-snack-attack,0
softwriters-holdings,1
gogoyoko,0
ce-interactive,1
41st-parameter,1
navigat-group,0
matomy-market,0
demystdata,0
hootsuite,1
wichorus,1
microventure-marketplace,0
andover-education-2,0
mediastay,0
awid,0
terraplay-systems,1
peel,1
avatar-reality,0
bettingxpert,0
mediainterface-dresden,0
m-metrics,1
movista,1
noteworthy-medical-systems,0
education-elements,0
cambiatta,0
mbm-solutions,0
array-networks,0
carcarekiosk,0
north-carolina-biotechnology-center,0
research-for-good,0
diversitydoctor,0
rexante-systems,0
xanofi,0
yy-inc,1
lantech,0
invivio-link,1
observepoint,0
chorus,0
kalos-therapeutics,0
derp-technologies,0
northwest-analytical,0
novapost,0
uknow-com,1
gyst,0
gpal,0
eventbuilder,0
bioanalytical,1
virtual-air-guitar-company,0
irl,0
cohesive-technologies,1
payright-health-solutions,0
