,success
sagent-pharmaceuticals,1
green-dot-corporation,1
practo-technologies-pvt-ltd,0
definiens,1
faction-skis,1
the-totus-group,0
spensa-technologies,1
hookit,0
maps-indeed,0
daegis,1
bitboys-oy,1
hightower-advisors,0
loyalty-lab,1
korrio,0
towermetrix,0
britebill,0
whitehatt-technologies,0
oesia,0
somedia-bbn3,1
hyperion-solutions,1
valencell,1
coworks,0
gear6,1
priva-security-corporation,0
cuculus,0
kaj-hospitality,0
igate-patni-computers,1
osix,0
sansa-security,1
carlson-wireless,1
55tuan-com,0
fantasy-shopper,0
novatel-wireless,1
process-system-enterprise,0
cantimer,0
creative-byline,0
9star-research,0
identrust,0
huy-vietnam,0
niti-surgical-solutions,0
qustodian,0
smithers-avanza,0
cakefinancial,1
smart-eye,0
naubo,0
my-dentist,1
bluepay,0
symmetric-computing,0
sr-labs,0
mywedding,0
marginleft,0
orabrush,1
diamond-multimedia,1
leapforce,0
hiperscan,0
videonext,0
q2ebanking,1
proclarity-corporation,1
musicshake,1
smava,0
cantex-pharmaceuticals,0
8020publishing,0
presidio,1
itdatabase,1
parking-in-motion,1
istante-software,1
invism,0
luxul-technology,0
doublepositive,1
vascular-graft-solutions,1
byallaccounts,1
onedrum,1
prosperity-financial-services-pte-ltd,0
thinkeco,1
avazu-inc,0
fluxdrive,0
enure-networks,0
i-dispo,0
the-codemasters-software-company,0
opensky,1
onsite-care,0
epicforce,0
kampyle,0
biotalk-technologies,0
insly,0
shine-medical-technologies,1
clearpath-robotics,0
compete,1
x-plus-two-solutions,0
lexar-media,1
new-relic,1
covacsis,0
isis,1
kwhours,0
mobaloo,0
touchring-tr,0
protein-lounge,0
digital-magics,0
fabrik,1
virtual-expert-clinics,1
mediastream,0
stroz-friedberg,0
edgar-online,1
hyperactive-technologies,1
nevada-copper,0
vasona-networks,0
amaranth-medical,0
endocyte,1
ad2games,1
songza,1
fab-solutions-company,0
metis-secure-solutions,1
aum-cardiovascular,0
sio2-nanotech,0
socialmadesimple,0
intuary,0
newcomlink,0
arrington-management-services,0
my6sense,1
hatchtech,0
sparkroom,1
greenqloud,0
benchee,0
bilende-technologies,0
businesselite,0
quisic,0
sidekick-games,0
99bill,1
rsi-content-solutions,0
romans-group,0
xronet,0
gettaxi,1
eyelock,0
giftindia24x7-com,0
banyan-biomarkers,0
commercetools,1
global-silicon,0
nutrisystem,1
avantis-medical-systems,1
cognitum,0
sterling-investments-3,0
mundi,0
peptivir,0
yougov,0
ambient-industries,0
myoptique-group,1
andrew-michaels-ltd,0
evena-medical,0
rib-software,1
adeze,0
